DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,QualityOfLife,ObjectID
2019/03/16 00:00:00+00,2104,1959,100 CURTIS ST     ,SIMPLE ASSAULT,0,1660
2019/03/16 00:00:00+00,2045,2045,500 MONTGOMERY ST     ,SIMPLE ASSAULT,0,1661
2019/03/16 00:00:00+00,2214,2214,300 SOUTH AV     ,OFFN AGAINST FAMILY,0,1662
2019/03/16 00:00:00+00,2200,2213,900 HAWLEY AV     ,CRIMINAL MISCHIEF,0,1663
2019/03/16 00:00:00+00,2300,2300,700 PARK AV     ,SIMPLE ASSAULT,0,1664
2019/03/16 00:00:00+00,1700,1700,100 JOHN ST     ,SIMPLE ASSAULT,0,1665
2019/03/17 00:00:00+00,0200,0024,700 PARK AV     ,SIMPLE ASSAULT,0,1666
2019/03/17 00:00:00+00,0020,0025,1500 BURNET AV     ,CRIMINAL MISCHIEF,1,1667
2019/03/17 00:00:00+00,0318,0318,400 STOLP AV     ,POSSESSION/USE DRUG,0,1668
2019/03/17 00:00:00+00,0336,0336,100 WIMAN AV     ,CRIMINAL MISCHIEF,0,1669
2019/03/17 00:00:00+00,0350,0350,300 MONTGOMERY ST     ,CRIMINAL MISCHIEF,1,1670
2019/03/17 00:00:00+00,0200,0200,700 S  CROUSE AV     ,SIMPLE ASSAULT,1,1671
2019/03/17 00:00:00+00,0920,0920,300 ERIE ST     ,SIMPLE ASSAULT,0,1672
2019/03/17 00:00:00+00,0300,1033,200 DAVIS ST     ,POSSESSION/USE DRUG,0,1673
2019/03/17 00:00:00+00,1040,1045,0 COSTELLO CT     ,POSSESSION/MARIJUANA,0,1674
2019/03/17 00:00:00+00,1015,1030,1000 COL EILEEN COLLINS BLVD   ,ALL OTHER OFFENSES,0,1675
2019/03/17 00:00:00+00,1136,1136,400 JAMES ST     ,DISORDERLY CONDUCT,1,1676
2019/03/17 00:00:00+00,1205,1205,300 JASPER ST     ,CRIMINAL MISCHIEF,0,1677
2019/03/17 00:00:00+00,1509,1509,300 S  ALVORD ST     ,SIMPLE ASSAULT,0,1678
2019/03/17 00:00:00+00,0030,0800,200 BANK AL     ,CRIMINAL MISCHIEF,1,1679
2019/03/17 00:00:00+00,0400,1100,0 COSTELLO CT     ,CRIMINAL MISCHIEF,1,1680
2019/03/17 00:00:00+00,2013,2013,200 PUTNAM ST     ,SIMPLE ASSAULT,0,1681
2019/03/17 00:00:00+00,2102,2102,500 S  STATE ST     ,OFFN AGAINST FAMILY,0,1682
2019/03/17 00:00:00+00,2330,2330,2500 E  GENESEE ST     ,CRIMINAL MISCHIEF,1,1683
2019/03/18 00:00:00+00,0010,0045,2600 MIDLAND AV     ,POSSESSION/MARIJUANA,0,1684
2019/03/18 00:00:00+00,0027,0027,200 MCKINLEY AV     ,POSSESSION/USE DRUG,0,1685
2019/03/18 00:00:00+00,0055,0058,200 WASHINGTON SQ     ,CRIMINAL MISCHIEF,0,1686
2019/03/18 00:00:00+00,0332,0332,300 W  PLEASANT AV     ,CRIMINAL MISCHIEF,1,1687
2019/03/18 00:00:00+00,0415,0434,1300 GRANT BLVD   ,SIMPLE ASSAULT,0,1688
2019/03/18 00:00:00+00,1930,0430,300 KENWOOD AV     ,CRIMINAL MISCHIEF,1,1689
2019/03/18 00:00:00+00,0530,0745,100 MARCELLUS ST     ,CRIMINAL MISCHIEF,0,1690
2019/03/18 00:00:00+00,1700,0931,300 S  CLINTON ST     ,SIMPLE ASSAULT,0,1691
2019/03/18 00:00:00+00,1538,1539,1700 S  SALINA ST     ,CRIMINAL MISCHIEF,0,1692
2019/03/18 00:00:00+00,1552,1554,100 HOBART AV     ,SIMPLE ASSAULT,0,1693
2019/03/18 00:00:00+00,1610,1612,300 GERTRUDE ST     ,CRIMINAL MISCHIEF,0,1694
2019/03/18 00:00:00+00,1613,1613,500 S  STATE ST     ,POSSESSION/MARIJUANA,0,1695
2019/03/18 00:00:00+00,1634,1635,1 DESTINY USA DR,SIMPLE ASSAULT,0,1696
2019/03/18 00:00:00+00,1640,1640,2600 S  SALINA ST     ,POSSESSION/MARIJUANA,0,1697
2019/03/18 00:00:00+00,1649,1649,2300 VALLEY DR     ,POSSESSION/MARIJUANA,0,1698
2019/03/18 00:00:00+00,1709,1709,2600 MIDLAND AV     ,POSSESSION/MARIJUANA,0,1699
2019/03/18 00:00:00+00,1728,1728,300 W  ONONDAGA ST     ,ALL OTHER OFFENSES,0,1700
2019/03/18 00:00:00+00,1734,1734,900 W  COLVIN ST     ,POSSESSION/MARIJUANA,0,1701
2019/03/18 00:00:00+00,1811,1811,300 W  ONONDAGA ST     ,POSSESSION/MARIJUANA,0,1702
2019/03/18 00:00:00+00,1812,1812,1900 S  STATE ST     ,ALL OTHER OFFENSES,0,1703
2019/03/18 00:00:00+00,1859,1859,700 SPRING ST     ,SIMPLE ASSAULT,0,1704
2019/03/18 00:00:00+00,2010,2014,200 LILAC ST     ,SIMPLE ASSAULT,0,1705
2019/03/18 00:00:00+00,2025,2029,900 JAMES ST     ,CRIMINAL MISCHIEF,0,1706
2019/03/18 00:00:00+00,2051,2110,0 CENTENNIAL DR     ,POSSESSION/MARIJUANA,0,1707
2019/03/18 00:00:00+00,1700,2200,100 MURRAY AV     ,CRIMINAL MISCHIEF,1,1708
2019/03/18 00:00:00+00,2201,2201,0 PRESIDENTIAL PLZ    ,SIMPLE ASSAULT,0,1709
2019/03/18 00:00:00+00,0001,2219,300 CRAIG ST     ,SIMPLE ASSAULT,0,1710
2019/03/18 00:00:00+00,2315,2315,100 BELLEVUE AV     ,POSSESSION/USE DRUG,0,1711
2019/03/18 00:00:00+00,1300,1300,500 SALT SPRINGS RD     ,CRIMINAL MISCHIEF,1,1712
2019/03/18 00:00:00+00,1200,0845,800 EMERSON AVE    ,CRIMINAL MISCHIEF,0,1713
2019/03/18 00:00:00+00,0630,0631,200 PROSPECT AV     ,CRIMINAL MISCHIEF,0,1714
2019/03/19 00:00:00+00,1804,1804,1100 S  GEDDES ST     ,POSSESSION/MARIJUANA,0,1715
2019/03/19 00:00:00+00,0153,0153,300 W  NEWELL ST     ,POSSESSION/MARIJUANA,0,1716
2019/03/19 00:00:00+00,0700,0705,200 HARWOOD AV     ,SIMPLE ASSAULT,0,1717
2019/03/19 00:00:00+00,0742,0742,500 S  CLINTON ST     ,SIMPLE ASSAULT,0,1718
2019/03/19 00:00:00+00,0755,0755,600 W  ONONDAGA ST     ,ALL OTHER OFFENSES,0,1719
2019/03/19 00:00:00+00,0000,0943,900 JAMES ST     ,FORGERY/COUNTERFEIT,0,1720
2019/03/19 00:00:00+00,1158,1158,2400 LODI ST     ,POSSESSION/MARIJUANA,0,1721
2019/03/19 00:00:00+00,1200,1200,400 S  SALINA ST     ,POSSESSION/MARIJUANA,0,1722
2019/03/19 00:00:00+00,1240,1240,200 W  ONONDAGA ST     ,ALL OTHER OFFENSES,0,1723
2019/03/19 00:00:00+00,1254,1254,1300 BURNET AV     ,SIMPLE ASSAULT,0,1724
2019/03/19 00:00:00+00,1255,1255,200 FITCH ST     ,POSSESSION/MARIJUANA,0,1725
2019/03/19 00:00:00+00,1000,1259,400 MONTGOMERY ST     ,CRIMINAL MISCHIEF,0,1726
2019/03/19 00:00:00+00,1321,1321,200 SHONNARD ST     ,POSSESSION/MARIJUANA,0,1727
2019/03/19 00:00:00+00,1550,1550,100 FITCH ST     ,POSSESSION/USE DRUG,0,1728
2019/03/19 00:00:00+00,1430,1600,300 W  COLVIN ST     ,CRIMINAL MISCHIEF,1,1729
2019/03/19 00:00:00+00,1720,1720,800 BUTTERNUT ST     ,ALL OTHER OFFENSES,0,1730
2019/03/19 00:00:00+00,1744,1744,200 FIRST NORTH ST     ,SIMPLE ASSAULT,0,1731
2019/03/19 00:00:00+00,1837,1837,900 HAWLEY AV     ,SIMPLE ASSAULT,0,1732
2019/03/19 00:00:00+00,2044,2045,100 ST LOUIS AV     ,OFFN AGAINST FAMILY,0,1733
2019/03/19 00:00:00+00,2115,2115,100 PATTISON ST     ,ALL OTHER OFFENSES,1,1734
2019/03/19 00:00:00+00,2205,2220,800 WADSWORTH ST     ,CRIMINAL MISCHIEF,1,1735
2019/03/19 00:00:00+00,2225,2227,100 EAST AV     ,SIMPLE ASSAULT,0,1736
2019/03/19 00:00:00+00,2245,2245,100 SCHILLER AV     ,CRIMINAL MISCHIEF,1,1737
2019/03/19 00:00:00+00,2205,2220,800 WADSWORTH ST     ,CRIMINAL MISCHIEF,0,1738
2019/03/19 00:00:00+00,2340,2341,700 TURTLE ST     ,CRIMINAL MISCHIEF,0,1739
2019/03/19 00:00:00+00,1700,2000,800 WADSWORTH ST     ,CRIMINAL MISCHIEF,0,1740
2019/03/19 00:00:00+00,0150,0900,200 POND ST     ,SIMPLE ASSAULT,0,1741
2019/03/19 00:00:00+00,1000,1000,300 W  ONONDAGA ST     ,FRAUD,0,1742
2019/03/20 00:00:00+00,0120,0125,100 RIVERDALE DR     ,CRIMINAL MISCHIEF,1,1743
2019/03/20 00:00:00+00,0227,0227,300 ONONDAGA AV     ,POSSESSION/MARIJUANA,0,1744
2019/03/20 00:00:00+00,0647,0647,100 DICKERSON ST     ,SIMPLE ASSAULT,0,1745
2019/03/20 00:00:00+00,0920,0930,200 ATLANTIC AV     ,SIMPLE ASSAULT,0,1746
2019/03/20 00:00:00+00,0001,0950,100 BENEDICT AV     ,CRIMINAL MISCHIEF,1,1747
2019/03/20 00:00:00+00,1005,1005,2000 E  FAYETTE ST     ,OFFN AGAINST FAMILY,0,1748
2019/03/20 00:00:00+00,1800,1030,300 W  NEWELL ST     ,CRIMINAL MISCHIEF,0,1749
2019/03/20 00:00:00+00,1129,1129,400 WILKINSON ST     ,FRAUD,1,1750
2019/03/20 00:00:00+00,1250,1320,200 EMPIRE AV     ,POSSESSION/MARIJUANA,0,1751
2019/03/20 00:00:00+00,1330,1330,400 S  ALVORD ST     ,ALL OTHER OFFENSES,0,1752
2019/03/20 00:00:00+00,1220,1230,200 E  ADAMS ST     ,SIMPLE ASSAULT,0,1753
2019/03/20 00:00:00+00,1401,1401,200 ELLIOTT ST     ,ALL OTHER OFFENSES,0,1754
2019/03/20 00:00:00+00,0730,1400,200 E  ADAMS ST     ,STOLEN PROPERTY,0,1755
2019/03/20 00:00:00+00,1633,1633,300 BELLEVUE AV     ,ALL OTHER OFFENSES,0,1756
2019/03/20 00:00:00+00,1642,1642,200 TEALL AV     ,DISORDERLY CONDUCT,0,1757
2019/03/20 00:00:00+00,1645,1709,1300 E  FAYETTE ST     ,SIMPLE ASSAULT,0,1758
2019/03/20 00:00:00+00,1714,1714,2200 COURT ST     ,SIMPLE ASSAULT,0,1759
2019/03/20 00:00:00+00,1828,1828,300 W  KENNEDY ST     ,ALL OTHER OFFENSES,0,1760
2019/03/20 00:00:00+00,1902,1902,600 ROBINSON ST     ,SIMPLE ASSAULT,0,1761
2019/03/20 00:00:00+00,1830,1830,2100 E  FAYETTE ST     ,POSSESSION/MARIJUANA,0,1762
2019/03/20 00:00:00+00,2035,2034,100 BENEDICT AV     ,SIMPLE ASSAULT,0,1763
2019/03/20 00:00:00+00,2320,2324,100 ALANSON RD     ,SIMPLE ASSAULT,0,1764
2019/03/20 00:00:00+00,1800,1800,100 MARSHALL ST     ,SIMPLE ASSAULT,1,1765
2019/03/20 00:00:00+00,0001,2359,300 ONTARIO ST     ,CRIMINAL MISCHIEF,1,1766
2019/03/20 00:00:00+00,1040,1040,100 OAKLAND ST     ,CRIMINAL MISCHIEF,0,1767
2019/03/20 00:00:00+00,1655,1655,800 OAK ST     ,SIMPLE ASSAULT,0,1768
2019/03/21 00:00:00+00,0030,0050,600 SOUTH AV     ,ALL OTHER OFFENSES,0,1769
2019/03/21 00:00:00+00,0049,0120,200 FITCH ST     ,POSSESSION/MARIJUANA,0,1770
2019/03/21 00:00:00+00,0217,0218,200 VANN ST     ,SIMPLE ASSAULT,0,1771
2019/03/21 00:00:00+00,0234,0230,1800 E  FAYETTE ST     ,CRIMINAL MISCHIEF,0,1772
2019/03/21 00:00:00+00,2130,0330,1100 WADSWORTH ST     ,CRIMINAL MISCHIEF,1,1773
2019/03/21 00:00:00+00,0350,0350,200 DELHI ST     ,POSSESSION/USE DRUG,0,1774
2019/03/21 00:00:00+00,0918,0918,100 MERRITT AVE    ,ALL OTHER OFFENSES,0,1775
2019/03/21 00:00:00+00,1430,1042,200 FITCH ST     ,OFFN AGAINST FAMILY,0,1776
2019/03/21 00:00:00+00,1234,1234,1 DESTINY USA DR,ALL OTHER OFFENSES,0,1777
2019/03/21 00:00:00+00,1435,1435,400 GIFFORD ST     ,POSSESSION/MARIJUANA,0,1778
2019/03/21 00:00:00+00,1535,1536,300 GIFFORD ST     ,SIMPLE ASSAULT,0,1779
2019/03/21 00:00:00+00,1610,1610,700 LEMOYNE AV     ,PROSTITUTION PATRON/PROMOTING,0,1780
2019/03/21 00:00:00+00,1630,1630,1200 SPRING ST     ,PROSTITUTION PATRON/PROMOTING,0,1781
2019/03/21 00:00:00+00,1645,1645,700 CATHERINE ST     ,PROSTITUTION PATRON/PROMOTING,0,1782
2019/03/21 00:00:00+00,1650,1650,800 E  WILLOW ST     ,PROSTITUTION PATRON/PROMOTING,0,1783
2019/03/21 00:00:00+00,1803,1803,100 DALE ST     ,FRAUD,0,1784
2019/03/21 00:00:00+00,1800,1800,800 JAMES ST     ,POSSESSION/MARIJUANA,1,1785
2019/03/21 00:00:00+00,1704,1704,200 MERRIMAN AV     ,POSSESSION/MARIJUANA,0,1786
2019/03/21 00:00:00+00,2100,2100,700 POND ST     ,SIMPLE ASSAULT,1,1787
2019/03/21 00:00:00+00,1732,1732,100 DICKERSON ST     ,ALL OTHER OFFENSES,0,1788
2019/03/21 00:00:00+00,1830,1900,900 S  GEDDES ST     ,POSSESSION/USE DRUG,0,1789
2019/03/21 00:00:00+00,1830,1830,0 CENTENNIAL DR     ,POSSESSION/MARIJUANA,0,1790
2019/03/21 00:00:00+00,1838,1838,1200 S  SALINA ST     ,POSSESSION/MARIJUANA,0,1791
2019/03/21 00:00:00+00,1920,1952,1000 MIDLAND AV     ,POSSESSION/MARIJUANA,0,1792
2019/03/21 00:00:00+00,1933,1933,200 W  COLVIN ST     ,POSSESSION/MARIJUANA,0,1793
2019/03/21 00:00:00+00,2036,2036,500 VALLEY DR     ,SIMPLE ASSAULT,0,1794
2019/03/21 00:00:00+00,2045,2045,1800 E  FAYETTE ST     ,SIMPLE ASSAULT,0,1795
2019/03/22 00:00:00+00,0230,0230,2700 MIDLAND AV     ,DRIVING UNDER INFLUENCE,0,1796
2019/03/22 00:00:00+00,0711,0711,100 BURT ST     ,POSSESSION/MARIJUANA,1,1797
2019/03/22 00:00:00+00,0742,0750,600 JAMES ST     ,SIMPLE ASSAULT,0,1798
2019/03/22 00:00:00+00,0956,0956,500 S  STATE ST     ,POSSESSION/USE DRUG,0,1799
2019/03/22 00:00:00+00,0957,0957,500 S  STATE ST     ,POSSESSION/USE DRUG,0,1800
2019/03/22 00:00:00+00,0957,0957,400 E  ADAMS ST     ,CRIMINAL MISCHIEF,1,1801
2019/03/22 00:00:00+00,1244,1244,100 TEMPLE ST     ,ALL OTHER OFFENSES,0,1802
2019/03/22 00:00:00+00,1427,1427,500 S  CLINTON ST     ,POSSESSION/USE DRUG,0,1803
2019/03/22 00:00:00+00,1530,1534,1600 E  GENESEE ST     ,SIMPLE ASSAULT,0,1804
2019/03/22 00:00:00+00,1643,1643,2100 ERIE BLVD E ,ALL OTHER OFFENSES,0,1805
2019/03/22 00:00:00+00,1130,1650,100 SMITH LN     ,SIMPLE ASSAULT,0,1806
2019/03/22 00:00:00+00,1846,1846,400 COURT ST     ,ALL OTHER OFFENSES,0,1807
2019/03/22 00:00:00+00,2110,2110,100 LINWILL TER    ,SIMPLE ASSAULT,0,1808
2019/03/22 00:00:00+00,2140,2141,400 RICH ST     ,SIMPLE ASSAULT,0,1809
2019/03/22 00:00:00+00,2235,2249,100 SHERWOOD AV     ,SIMPLE ASSAULT,0,1810
2019/03/22 00:00:00+00,2341,2341,700 JAMES ST     ,SIMPLE ASSAULT,0,1811
2019/03/22 00:00:00+00,0000,2345,100 DICKERSON ST     ,CRIMINAL MISCHIEF,0,1812
2019/03/22 00:00:00+00,0700,1225,200 MARGUERITE AV     ,SIMPLE ASSAULT,0,1813
2019/03/22 00:00:00+00,1000,1000,400 SUNNYCREST RD     ,POSSESSION/USE DANGEROUS WEAPONS,0,1814
2019/03/23 00:00:00+00,0130,0136,600 E  DIVISION ST     ,SIMPLE ASSAULT,0,1815
2019/03/23 00:00:00+00,0253,0253,0 SB I 81 TO NB I 481        ,POSSESSION/USE DANGEROUS WEAPONS,0,1816
2019/03/23 00:00:00+00,0233,0233,1300 N  STATE ST     ,POSSESSION/MARIJUANA,0,1817
2019/03/23 00:00:00+00,0306,0306,400 SHONNARD ST     ,SIMPLE ASSAULT,0,1818
2019/03/23 00:00:00+00,0320,0323,600 W  ONONDAGA ST     ,SIMPLE ASSAULT,0,1819
2019/03/23 00:00:00+00,0447,0447,200 HILLSIDE ST     ,SIMPLE ASSAULT,0,1820
2019/03/23 00:00:00+00,0842,0852,300 FOBES AVE    ,SIMPLE ASSAULT,0,1821
2019/03/23 00:00:00+00,0900,0904,2700 GRANT BLVD   ,SIMPLE ASSAULT,0,1822
2019/03/23 00:00:00+00,1043,1030,100 S  COLLINGWOOD AV     ,OFFN AGAINST FAMILY,0,1823
2019/03/23 00:00:00+00,0600,1220,100 FRISBIE CT     ,SIMPLE ASSAULT,0,1824
2019/03/23 00:00:00+00,1140,1140,1400 S  STATE ST     ,POSSESSION/MARIJUANA,0,1825
2019/03/23 00:00:00+00,1233,1233,1000 DANFORTH ST     ,SIMPLE ASSAULT,0,1826
2019/03/23 00:00:00+00,1240,1330,200 MARY ST     ,SIMPLE ASSAULT,0,1827
2019/03/23 00:00:00+00,1242,1244,500 HIGHLAND ST     ,CRIMINAL MISCHIEF,1,1828
2019/03/23 00:00:00+00,1250,1254,200 MAY AV     ,CRIMINAL MISCHIEF,0,1829
2019/03/23 00:00:00+00,1350,1350,500 OSWEGO ST     ,POSSESSION/MARIJUANA,0,1830
2019/03/23 00:00:00+00,1415,1421,9000 WILLIS AV     ,SIMPLE ASSAULT,0,1831
2019/03/23 00:00:00+00,0100,1433,700 PARK AV     ,CRIMINAL MISCHIEF,0,1832
2019/03/23 00:00:00+00,1515,1522,700 W  BRIGHTON AV     ,SIMPLE ASSAULT,0,1833
2019/03/23 00:00:00+00,1820,1820,400 GIFFORD ST     ,ALL OTHER OFFENSES,0,1834
2019/03/23 00:00:00+00,1851,1851,100 MCLENNAN AV     ,SIMPLE ASSAULT,0,1835
2019/03/23 00:00:00+00,2057,2057,2000 S  SALINA ST     ,ALL OTHER OFFENSES,0,1836
2019/03/23 00:00:00+00,2220,2227,3000 MIDLAND AV     ,SIMPLE ASSAULT,0,1837
2019/03/23 00:00:00+00,2305,2310,100 RONEY LN     ,SIMPLE ASSAULT,0,1838
2019/03/23 00:00:00+00,2320,2320,0 MEADE CT     ,POSSESSION/MARIJUANA,0,1839
2019/03/23 00:00:00+00,2345,2350,100 FRISBIE CT     ,KIDNAPPING,0,1840
2019/03/23 00:00:00+00,1530,1600,300 ELM ST     ,CRIMINAL MISCHIEF,1,1841
2019/03/23 00:00:00+00,0000,2359,300 HUDSON ST     ,FRAUD,0,1842
2019/03/24 00:00:00+00,0021,0026,100 HARTSON ST     ,CRIMINAL MISCHIEF,0,1843
2019/03/24 00:00:00+00,0038,0040,600 TEALL AV     ,CRIMINAL MISCHIEF,1,1844
2019/03/24 00:00:00+00,0209,0209,100 WASHINGTON SQ     ,SIMPLE ASSAULT,0,1845
2019/03/24 00:00:00+00,0335,0341,1800 BELLEVUE AV     ,KIDNAPPING,0,1846
2019/03/24 00:00:00+00,0800,0814,2900 GRANT BLVD   ,OFFN AGAINST FAMILY,0,1847
2019/03/24 00:00:00+00,0955,0955,400 SHONNARD ST     ,CRIMINAL MISCHIEF,0,1848
2019/03/24 00:00:00+00,2100,1100,100 BRADFORD ST     ,CRIMINAL MISCHIEF,1,1849
2019/03/24 00:00:00+00,1230,1236,1900 JAMES ST     ,SIMPLE ASSAULT,0,1850
2019/03/24 00:00:00+00,0500,1259,900 E  GENESEE ST     ,SIMPLE ASSAULT,0,1851
2019/03/24 00:00:00+00,1542,1542,2800 ERIE BLVD E ,DISORDERLY CONDUCT,0,1852
2019/03/24 00:00:00+00,1535,1541,200 KIRK AV     ,SIMPLE ASSAULT,0,1853
2019/03/24 00:00:00+00,1625,1625,1000 W  GENESEE ST     ,OFFN AGAINST FAMILY,0,1854
2019/03/24 00:00:00+00,1701,1701,1000 S  CLINTON ST     ,SIMPLE ASSAULT,1,1855
2019/03/24 00:00:00+00,1743,1743,100 W  BISSELL ST     ,SIMPLE ASSAULT,0,1856
2019/03/24 00:00:00+00,1916,1916,300 WILKINSON ST     ,SIMPLE ASSAULT,0,1857
2019/03/24 00:00:00+00,1944,1944,1200 W  BELDEN AV     ,SIMPLE ASSAULT,0,1858
2019/03/24 00:00:00+00,1700,1700,200 S  COLLINGWOOD AV     ,CRIMINAL MISCHIEF,1,1859
2019/03/24 00:00:00+00,2254,2254,200 WARNER AV     ,POSSESSION/USE DANGEROUS WEAPONS,0,1860
2019/03/24 00:00:00+00,2309,2309,1500 MIDLAND AV     ,POSSESSION/MARIJUANA,0,1861
2019/03/24 00:00:00+00,2309,2309,600 W  ONONDAGA ST     ,CRIMINAL MISCHIEF,1,1862
2019/03/24 00:00:00+00,2130,2130,900 GLENWOOD AV     ,OFFN AGAINST FAMILY,0,1863
2019/03/24 00:00:00+00,0200,0200,2000 E  FAYETTE ST     ,POSSESSION/USE DANGEROUS WEAPONS,0,1864
2019/03/24 00:00:00+00,0900,1040,2200 S  GEDDES ST     ,CRIMINAL MISCHIEF,0,1865
2019/03/24 00:00:00+00,0415,1415,400 TENNYSON AV     ,CRIMINAL MISCHIEF,0,1866
2019/03/25 00:00:00+00,0019,0019,200 BURDICK AV     ,OFFN AGAINST FAMILY,0,1867
2019/03/25 00:00:00+00,0039,0039,500 HELEN ST     ,SIMPLE ASSAULT,0,1868
2019/03/25 00:00:00+00,0110,0150,600 CATHERINE ST     ,POSSESSION/MARIJUANA,0,1869
2019/03/25 00:00:00+00,0223,0100,100 N  COLLINGWOOD AV     ,OFFN AGAINST FAMILY,0,1870
2019/03/25 00:00:00+00,0620,0620,1700 EB I 690        ,POSSESSION/USE DRUG,0,1871
2019/03/25 00:00:00+00,0045,0045,1100 SALT SPRINGS RD     ,CRIMINAL MISCHIEF,0,1872
2019/03/25 00:00:00+00,1000,1120,900 N  ALVORD ST     ,SIMPLE ASSAULT,0,1873
2019/03/25 00:00:00+00,1129,1129,1200 TEALL AV     ,CRIMINAL MISCHIEF,0,1874
2019/03/25 00:00:00+00,1136,1137,500 VALLEY DR     ,SIMPLE ASSAULT,0,1875
2019/03/25 00:00:00+00,1208,1208,300 LODI ST     ,POSSESSION/MARIJUANA,1,1876
2019/03/25 00:00:00+00,1322,1322,100 GLAHN AV     ,SIMPLE ASSAULT,0,1877
2019/03/25 00:00:00+00,1525,1427,300 LODI ST     ,CRIMINAL MISCHIEF,0,1878
2019/03/25 00:00:00+00,1645,1655,100 SOUTH AV     ,ALL OTHER OFFENSES,0,1879
2019/03/25 00:00:00+00,1501,1501,400 MONTGOMERY ST     ,DISORDERLY CONDUCT,0,1880
2019/03/25 00:00:00+00,1719,1719,400 SOUTH AV     ,POSSESSION/MARIJUANA,0,1881
2019/03/25 00:00:00+00,1737,1737,400 WILKINSON ST     ,SIMPLE ASSAULT,0,1882
2019/03/25 00:00:00+00,1739,1739,300 STRATFORD ST     ,POSSESSION/MARIJUANA,0,1883
2019/03/25 00:00:00+00,1750,1800,100 MCLENNAN AV     ,SIMPLE ASSAULT,0,1884
2019/03/25 00:00:00+00,1918,1921,1000 BELLEVUE AV     ,SIMPLE ASSAULT,0,1885
2019/03/25 00:00:00+00,2020,2024,800 DANFORTH ST     ,SIMPLE ASSAULT,0,1886
2019/03/25 00:00:00+00,2051,2051,900 W  FAYETTE ST     ,POSSESSION/MARIJUANA,0,1887
2019/03/25 00:00:00+00,2050,2052,900 N  ALVORD ST     ,SIMPLE ASSAULT,0,1888
2019/03/25 00:00:00+00,1200,2058,300 BUCKINGHAM AV     ,SIMPLE ASSAULT,0,1889
2019/03/25 00:00:00+00,2100,2100,100 DICKERSON ST     ,SIMPLE ASSAULT,0,1890
2019/03/25 00:00:00+00,2156,2156,2000 LODI ST     ,CRIMINAL MISCHIEF,0,1891
2019/03/25 00:00:00+00,1541,1541,100 W  FAYETTE ST     ,SIMPLE ASSAULT,0,1892
2019/03/26 00:00:00+00,1221,1221,200 MCLENNAN AV     ,POSSESSION/MARIJUANA,0,1893
2019/03/26 00:00:00+00,0150,0155,600 W  NEWELL ST     ,CRIMINAL MISCHIEF,0,1894
2019/03/26 00:00:00+00,0114,0125,1800 E  FAYETTE ST     ,CRIMINAL MISCHIEF,0,1895
2019/03/26 00:00:00+00,0732,0732,0 LIVERPOOL TO HIAWATHA BLVD RAMP   ,ALL OTHER OFFENSES,0,1896
2019/03/26 00:00:00+00,1105,1115,900 W  ONONDAGA ST     ,OFFN AGAINST FAMILY,0,1897
2019/03/26 00:00:00+00,1048,1048,200 HOLLAND ST     ,CRIMINAL MISCHIEF,1,1898
2019/03/26 00:00:00+00,1213,1213,1100 CANNON ST     ,POSSESSION/MARIJUANA,0,1899
2019/03/26 00:00:00+00,1400,1400,200 MAGNOLIA ST     ,OFFN AGAINST FAMILY,0,1900
2019/03/26 00:00:00+00,1430,1430,300 E  DIVISION ST     ,ALL OTHER OFFENSES,0,1901
2019/03/26 00:00:00+00,1600,1503,100 POLK ST     ,CRIMINAL MISCHIEF,1,1902
2019/03/26 00:00:00+00,1700,1700,500 S  STATE ST     ,ALL OTHER OFFENSES,1,1903
2019/03/26 00:00:00+00,2050,2050,1500 SOUTH AV     ,POSSESSION/USE DANGEROUS WEAPONS,1,1904
2019/03/26 00:00:00+00,1812,1812,600 PARK ST     ,PROSTITUTION PATRON/PROMOTING,0,1905
2019/03/26 00:00:00+00,1800,1800,500 CATHERINE ST     ,PROSTITUTION PATRON/PROMOTING,0,1906
2019/03/26 00:00:00+00,1820,1828,1 DESTINY USA DR,SIMPLE ASSAULT,0,1907
2019/03/26 00:00:00+00,1852,1852,200 KIMBER AV     ,POSSESSION/MARIJUANA,1,1908
2019/03/26 00:00:00+00,1848,1848,300 MIDLAND AV     ,POSSESSION/MARIJUANA,0,1909
2019/03/26 00:00:00+00,1855,1855,500 LEMOYNE AV     ,PROSTITUTION PATRON/PROMOTING,0,1910
2019/03/26 00:00:00+00,1915,1915,600 S  GEDDES ST     ,POSSESSION/MARIJUANA,0,1911
2019/03/26 00:00:00+00,1935,1935,100 W  CORNING AV     ,POSSESSION/MARIJUANA,0,1912
2019/03/26 00:00:00+00,2000,2335,2000 LODI ST     ,CRIMINAL MISCHIEF,0,1913
2019/03/26 00:00:00+00,2015,2023,200 FENWAY DR     ,SIMPLE ASSAULT,0,1914
2019/03/26 00:00:00+00,2024,2024,300 ROBINSON ST     ,OFFN AGAINST FAMILY,0,1915
2019/03/26 00:00:00+00,2150,2150,100 ATLANTIC AV     ,POSSESSION/MARIJUANA,0,1916
2019/03/26 00:00:00+00,2330,2330,300 BASIN ST     ,SIMPLE ASSAULT,0,1917
2019/03/26 00:00:00+00,0900,0901,700 JAMES ST     ,SIMPLE ASSAULT,0,1918
2019/03/27 00:00:00+00,0019,0019,100 TYLER CT     ,SIMPLE ASSAULT,0,1919
